30:   0   92  100  106  108  105   90   16   83   99  136  139  140  137  129  104  
31:   0   73  102  106  108  105   90   12   82   93  134  139  140  136  131   93  
32:   0   68  102  106  108  106   88   10   76  124  136  139  140  137  129  108  
33:   8   81  103  108  108  104   84    0   75  122  134  139  140  136  127   94  
34:   0   69   97  108  108  103   88    0   70  119  133  139  140  137  130  104  
35:   0   75  103  109  108  101   83    0   69  123  134  139  139  136  129   95  
36:   0   78  102  110  108   97   82    0   64  123  134  139  140  136  127   99  
37:   0   66  100  111  108   93   94   60   60  121  133  138  139  137  133  103  
38:   0   81  102  112  108   93   87    0   57  122  134  139  139  136  128   96  
39:   0   70  100  111  112   27   92   52   54  121  133  138  140  136  129  100  
40:   0   73  100  111  112  103   90   50   51  119  134  138  140  137  130  103  
41:  18   77  103  110  112  102   86   46   46  121  134  139  140  136  128   96  
42:  21   75  101  110  111  102   84   43   43  121  134  138  140  136  130  100  
43:   0   70  101  110  111  100   81   41   41  121  134  139  140  137  130  105  
44:   0   78  103  111  111   96   77   37   85  122  136  139  139  136  128   90  
45:  32   75  100  110  111  108   75   73   81  119  134  139  140  136  130  103  
46:  35   75  101  110  111  105   71   70   77  121  134  139  139  136  128   94  
47:   0   80  102  110  111  105   69   66   74  121  134  139  140  136  128   95  
48:  41   75  102  110  111  106   65   64   73  116  133  138  140  137  128  100  
49:  45   70  101  111  111  105   62   41   70  119  134  139  140  136  130  102  
50:   0   73  102  110  111  106   60   18   66  120  134  139  140  136  129  100  
51:  51   75  101  110  111  106   81   57   61  119  133  139  140  136  131  103  
52:  25   80  103  110  111  103   77   11   70  124  134  139  140  136  128  103  
53:  60   73  100  110  111  105   93   51   55  118  134  139  140  137  130  108  
54:  32   75  101  110  111  105   90   46   59  123  134  139  140  137  130  110  
55:  35   80  103  110  111  103   86    2   77  123  134  139  139  136  128   68  
56:   0   55   96  110  111  106   92   42   43  120  133  138  140  137  131   70  
57:  42   59  102  110  111  104   85   37   55  124  134  139  139  136  129   75  
58:  42   62  103  110  111  104   81   35   80  123  134  139  139  134  128   77  
59:  46   65  101  110  111  105   87   30   46  121  134  139  139  136  128   81  
60:   0   64   99  110  111  108   88   28   30  120  134  139  139  137  131   84  
61:  52   70  101  110  111  104   85   25   75  121  133  139  139  136  130   87  
62:   0   69   97  110  111  105   93   23   23  114  133  138  139  137  116   92  
63:   0   60  100  109  111  106   93   64   18  114  132  138  140  138  120   95  
64:   0   62  101  109  111  106   93   60   16  114  133  139  140  139  121   99  
65:  23   64   78  106  110  108   95   57    0  112  133  138  140  140  127  102  
66:  76   66   81  104  109  108   96   65    0  112  131  138  140  132  129  105  
67:  81   70   82  103  109  106   97   75    0  100  131  140  142  134   37  109  
68:  35   71   84  104  108  105   93   62    2  119  136  141  138  134   40  112  
69:  87   15   76   21  106  105   95   69    0  114  133  141  137  136   42  115  
70:  91   75   86   27  105  103   93   54    0  121  140  137  138  134  115  120  
71:  23   42   82   27  105  103   90   54    0  124  139  134  138  136  121  123  
72:  32   52   84   23  105  102   87   37    0  131  137  137  139  137  124  127  
73:   0   84   93   28  105   99   80   28  125  133  131  138  139   52  131  114  
74:  30   81   94  103  103   95   69    0  113  131  134  139  138  131  132  105  
75:  32   88   96  103  105   94   70    0  115  124  132  138  138  133  133  109  
76:   2   90   97  103  105   96   68    0  114  121   51  138  137  134  131  111  
77:  38   93   95  103  105   97   65    0  112  118   51  137  136  140  131   71  
78:  42   95   99  104  105   96   62    0  115  124   54  137  140  138  128   56  
79:  45   85  101  104  104   96   65    0  112  121   54  136  141  138  125   76  
80:  17   84  103  105  103   96   64    0  110  119   52  141  141  137  127   60  
81:  21   90  103  105  104   96   70    0  108  115   51  141  140  136  127   56  
82:  10   82  103  106  105  103   78    2  103  112   51  141  140  137  130   84  
83:  21   86  104  106  103  101   74    0  101  108  139  140  140  134  131   70  
