39:   0   80  106  109  110  104   93   65   48  102  133  136  137  133  125   95  
40:   0   71  102  111  110  101   95   64    0   99  131  136  137  134  128  102  
41:   0   78  103  112  110  100   95   20   93   94  132  136  137  133  124   93  
42:   0   70  102  112  110   94   96   57    0   92  130  136  137  134  128   99  
43:   0   70  100  111  112   93   95   56    0   88  130  137  137  134  128  103  
44:   0   73  101  112  113   17   93   51   60  119  131  136  137  133  125   93  
45:   0   75  102  112  113  105   91   47   80  115  131  136  137  133  127  102  
46:   0   78  103  112  113  104   88   43   71  116  132  136  137  133  125   96  
47:   0   76  104  112  112  103   85   41   69  119  132  136  137  133  124   84  
48:   0   71  100  112  112  101   83   78   65  112  130  136  137  134  127  106  
49:   8   81  103  112  112   99   78   35   68  121  131  136  137  133  124   93  
50:   0   74  102  112  113  110   75   74   65  115  131  136  137  133  124   97  
51:   0   69  102  112  112  109   73   60   56  115  130  136  137  134  125   96  
52:   0   80  104  112  112  109   70   27   56  118  131  136  137  132  122   94  
53:   0   70  102  112  112  110   90   65   47  113  131  136  137  133  128  103  
54:   0   78  102  112  112  109   86   48   50  115  131  136  137  132  124   93  
55:   0   74  103  112  112  109   84   59   46  115  131  136  137  134  127   94  
56:   0   75  102  112  112  110   99   56   42  112  131  134  137  134  127  106  
57:   0   78  103  112  112  109   94   40   40  116  132  136  137  133  125   91  
58:   0   74  102  111  112  110   95   51   35  112  131  136  137  134  128  105  
59:   0   77  103  112  112  108   91   46   34  119  132  137  137  134  125   92  
60:   0   66  100  112  112  110   94   45   28  114  131  136  137  133  128  104  
61:   0   75  102  112  112  108   93   42   25  115  130  137  138  134  125   96  
62:   0   76  103  112  112  108   90   37   21  115  131  136  137  133  127   95  
63:   0   70  100  112  112  109   94   35   17  112  131  136  137  134  129  103  
64:   0   76  103  112  112  108   93   32   15  115  131  136  137  134  127   97  
65:   0   74  103  112  112  109   93   50   11  118  130  136  137  134  128  103  
66:  32   68  100  112  112  110   97   68    8  113  130  136  138  134  129  109  
67:  37   80  103  112  112  108   93   21   48  118  132  137  138  133  125   96  
68:   0   75  103  112  112  109   94   61    1  114  131  136  137  134  127   99  
69:   0   75  102  112  112  110   95   60    0  114  131  136  137  134  128  100  
70:  46   78  104  112  112  108   90   10   46  119  132  137  137  133  124   97  
71:   0   80  100  112  112  110   95   54    0  111  131  136  137  134  129  105  
72:  51   84  103  112  112  108   91   51   37  115  131  137  137  134  124  103  
73:  56   60  104  112  112  106   88   46   35  120  131  136  137  134  125   88  
74:   0   87  100  112  112  109   96   47    0  114  131  136  137  134  129  110  
75:   0   65  103  112  112  106   93   40   30  118  132  137  138  134  125   93  
76:   0   69  103  112  112  108   94   37   56  119  131  137  137  134  127   90  
77:   0   70  101  112  112  109   93   52    0  115  131  136  137  134  128  104  
78:   0   74  103  112  112  106   92   30   52  116  133  137  137  133  124   96  
79:   0   75  103  112  112  109   95   43    0  111  131  136  138  134  129  103  
80:   0   78  104  112  112  108   93   25   17  115  131  137  137  134  127   96  
81:   0   82  105  112  112  108   93   35    0  115  131  136  137  134  128  102  
82:   0   83   84  112  112  108   92   34    2  115  131  136  137  134  127   96  
83:   0   86   87  112  112  109   93   30    0  116  131  137  137  134  127   97  
84:   0   90   94  112  112  106   93   37    0  118  131  136  137  134  125   99  
85:   0   92   93  112  112  109   93   42    8  115  131  136  137  134  127  100  
86:   0   76   96  112  112  108   94   37   30  115  130  137  138  134  131  103  
87:   0   95   99  113  112  106   92   28   52  120  131  137  137  133  124   91  
88:   0   71  101  110  113  110   96   54    0  114  132  136  137  134  128  108  
89:   0   76  103  110  113  109   91   28   10  115  132  136  137  133  125   96  
90:   0   78  104  110  113  109   94   27   56  112  131  136  137  133  125  101  
91:   4   70  103  109  112  110   97   56    0  109  131  136  137  134  129  108  
92:   0   75  105  109  112  109   91   28    8  116  133  137  137  133  127   96  
93:  10   74  102  111  110  111   97   40    0  114  131  136  137  133  128  103  
94:  14   75  102  112  110  110   95   30    0  112  131  136  137  134  127  102  
95:   0   78  104  112  110  108   93   10   59  116  133  136  137  133  124   95  
96:  21   70  101  112  111  106   95   47    0  113  131  136  137  134  128  101  
97:  23   78  103  112  113  103   93   50    0  114  131  137  137  133  127   96  
98:  21   76  103  112  113  101   90   30    0  116  132  136  137  133  131   93  
99:  30   78  102  112  113   97   95   43    0  114  131  136  137  134  127   95  
100:  34   83  104  112  113   95   94   21   64  120  131  136  137  133  125   92  
101:  37   65  103  112  113   92   95   52    0  116  131  136  137  134  129   94  
102:   0   43  102  112  113   91   93   34    0  114  131  136  137  134  128  104  
103:   0   88  104  112  113   87   91   12   56  118  132  136  137  133  131   87  
104:   0   50  103  112  113  110   87   54    0  112  131  136  137  134  132   99  
105:  51   52  103  112  113  109   84    5   42  119  131  136  137  133  127   94  
106:   0   56  105  112  112  109   82   25   76  115  131  136  137  133  123   86  
107:   0   60  101  112  113  111   78   75    0  113  131  136  137  134  131  105  
108:   0   61  103  112  113  110   78   73    0  116  131  136  137  133  131  100  
109:   0   65  103  112  113  108   97   37   51  116  131  136  137  133  131   95  
110:   0   99  104  112  113  110   96   56    0  114  131  136  137  134  131  100  
111:   0   71  123  112  113  109   93   28   68  118  131  136  137  133  131   93  
112:   0   75  129  112  113  110   96   61    0  112  131  136  137  133  128  104  
